Timestamp,SourceIP,DestinationIP,SourcePort,DestinationPort,Protocol,PacketLength,Direction,TCPFlags,ApplicationGuess,TrafficCategory,ConnectionStatus,GeographicRegion,BytesPerSecond,SecurityLevel
"2025-10-22 12:21:38.829","127.0.0.1","127.0.0.1",58684,9000,"TCP",546,"Outgoing","ACK PSH","Dynamic/Private","Development","Unknown","Localhost",3822,"Medium"
"2025-10-22 12:21:40.942","127.0.0.1","127.0.0.1",57307,4000,"TCP",347,"Outgoing","ACK PSH","Dynamic/Private","Development","Unknown","Localhost",694,"Medium"
"2025-10-22 12:21:43.029","54.230.87.15","192.168.29.3",1433,53671,"TCP",135,"Incoming","ACK","Dynamic/Private","Other","Active","Local Network",405,"Low"
"2025-10-22 12:21:44.084","192.168.29.3","74.125.224.72",55722,8443,"TCP",991,"Outgoing","ACK","HTTPS-Alt","Web Traffic","Active","Local Network",7928,"High"
"2025-10-22 12:21:45.146","192.168.29.3","31.13.64.35",52925,8000,"TCP",201,"Outgoing","PSH ACK","HTTP-Alt","Development","Active","Local Network",1809,"Medium"
"2025-10-22 12:21:46.205","172.217.164.110","192.168.29.3",8080,56515,"TCP",1133,"Incoming","ACK","Dynamic/Private","Other","Active","Local Network",6798,"Low"
"2025-10-22 12:21:50.434","192.168.29.3","52.84.223.92",58204,4000,"TCP",470,"Outgoing","PSH ACK","Dynamic/Private","Development","Active","Local Network",2820,"Medium"
"2025-10-22 12:21:52.539","192.168.29.3","8.8.8.8",51094,53,"TCP",119,"Outgoing","SYN","DNS","DNS","Initiating","Local Network",952,"Medium"
"2025-10-22 12:22:01.017","127.0.0.1","127.0.0.1",50067,4000,"TCP",443,"Outgoing","ACK PSH","Dynamic/Private","Development","Unknown","Localhost",3544,"Medium"
"2025-10-22 12:22:07.330","151.101.193.140","192.168.29.3",110,54687,"UDP",73,"Incoming","","Dynamic/Private","Other","Unknown","Local Network",365,"Low"
"2025-10-22 12:22:09.446","192.168.29.3","40.96.147.153",57902,3000,"TCP",386,"Outgoing","ACK","Dynamic/Private","Development","Active","Local Network",2316,"Medium"
"2025-10-22 12:22:09.469","127.0.0.1","127.0.0.1",51220,8080,"TCP",504,"Outgoing","ACK PSH","HTTP-Alt","Web Traffic","Unknown","Localhost",2520,"Medium"
"2025-10-22 12:22:12.615","192.168.29.3","40.96.147.153",58997,8443,"TCP",940,"Outgoing","SYN ACK","HTTPS-Alt","Web Traffic","Establishing","Local Network",5640,"High"
"2025-10-22 12:22:17.910","192.168.29.3","74.125.224.72",51913,1433,"TCP",580,"Outgoing","SYN","MSSQL","Database","Initiating","Local Network",4640,"High"
"2025-10-22 12:22:18.967","192.168.29.3","8.8.8.8",53483,3001,"UDP",102,"Outgoing","","Dynamic/Private","Development","Unknown","Local Network",102,"Medium"
"2025-10-22 12:22:23.177","74.125.224.72","192.168.29.3",53,54845,"TCP",127,"Incoming","FIN ACK","Dynamic/Private","Other","Closing","Local Network",1016,"Low"
"2025-10-22 12:22:24.250","192.168.29.3","52.84.223.92",57041,3000,"UDP",125,"Outgoing","","Dynamic/Private","Development","Unknown","Local Network",875,"Medium"
"2025-10-22 12:22:26.368","31.13.64.35","192.168.29.3",1433,52508,"TCP",393,"Incoming","RST","Dynamic/Private","Other","Reset","Local Network",1179,"Low"
"2025-10-22 12:22:29.551","192.168.29.3","172.217.164.110",54408,8080,"TCP",627,"Outgoing","PSH ACK","HTTP-Alt","Web Traffic","Active","Local Network",4389,"Medium"
"2025-10-22 12:22:30.608","40.96.147.153","192.168.29.3",8443,56508,"UDP",1267,"Incoming","","Dynamic/Private","Other","Unknown","Local Network",6335,"Low"
"2025-10-22 12:22:34.874","40.96.147.153","192.168.29.3",8443,55994,"TCP",459,"Incoming","SYN ACK","Dynamic/Private","Other","Establishing","Local Network",459,"Low"
"2025-10-22 12:22:38.070","127.0.0.1","127.0.0.1",57132,5000,"TCP",306,"Outgoing","ACK PSH","Dynamic/Private","Development","Unknown","Localhost",612,"Medium"
"2025-10-22 12:22:41.244","127.0.0.1","127.0.0.1",52808,8443,"TCP",481,"Outgoing","ACK PSH","HTTPS-Alt","Web Traffic","Unknown","Localhost",3848,"High"
"2025-10-22 12:22:42.278","192.168.29.3","157.240.12.35",50509,443,"TCP",955,"Outgoing","SYN","HTTPS","Web Traffic","Initiating","Local Network",7640,"High"
"2025-10-22 12:22:43.376","192.168.29.3","151.101.193.140",59223,443,"UDP",315,"Outgoing","","HTTPS","Web Traffic","Unknown","Local Network",945,"High"
"2025-10-22 12:22:43.406","127.0.0.1","127.0.0.1",54986,5000,"TCP",126,"Outgoing","ACK PSH","Dynamic/Private","Development","Unknown","Localhost",882,"Medium"
"2025-10-22 12:22:46.559","192.168.29.3","8.8.8.8",52606,22,"TCP",60,"Outgoing","ACK","SSH/SFTP","Remote Access","Active","Local Network",240,"Critical"
"2025-10-22 12:22:46.581","127.0.0.1","127.0.0.1",50775,8443,"TCP",279,"Outgoing","ACK PSH","HTTPS-Alt","Web Traffic","Unknown","Localhost",1395,"High"
